TradingDate,ID,Avg,stddev_pop(Variation)
2021-11-08,NHOA.FR,-0.022857142857142878,0.09822921964383545
2021-11-08,NK.FR,-0.042500000000000426,0.16138076093512543
2021-11-08,NOKIA.FR,-0.0006249999999996536,0.007192661190408252
2021-11-08,NVD3.FR,-4.352400000000007,2.2302770111954024
2021-11-08,ORAP.FR,0.0,0.008164965809277086
2021-11-08,ORAPB.FR,-0.046000000000000006,0.13010764773832476
2021-11-08,ORP.FR,-0.13124999999996234,0.2676489071526411
2021-11-08,PAR.FR,0.0,0.6373774391990981
2021-11-08,PAT.FR,0.0,0.0
2021-11-08,PERR.FR,-0.033333333333333805,0.1374368541872573
2021-11-08,PEUG.FR,-0.10000000000000853,0.3464101615137783
2021-11-08,PIG.FR,-0.0042857142857143215,0.038119040183218066
2021-11-08,POM.FR,0.05750000000000455,0.07554965254717687
