TradingDate,TradingTimeHour,ID,Min,Avg,Max,Count
2021-11-08,09:00,TCH.FR,2.64,2.6546863636363636,2.682,44
2021-11-08,09:00,TEP.FR,345.59166666666664,348.5191442300199,352.2,611
2021-11-08,09:00,TFI.FR,8.9,8.943958333333336,8.98,66
2021-11-08,09:00,TOUP.FR,7.9399999999999995,7.94,7.94,4
2021-11-08,09:00,TRI.FR,163.79999999999998,165.11461038961033,166.5,98
2021-11-08,09:00,UBI.FR,46.68,46.874049920634924,47.14,200
2021-11-08,09:00,UFF.FR,18.0,18.0825,18.2,5
2021-11-08,09:00,VCT.FR,38.4,38.65750000000001,38.8,40
2021-11-08,09:00,VIL.FR,5.84,5.867,5.88,5
2021-11-08,09:00,VK.FR,7.035,7.159095399351305,7.24,254
2021-11-08,09:00,VMGBS.FR,0.00475,0.00475,0.00475,1
2021-11-08,09:00,VRAP.FR,17.8,17.93611111111111,18.0,6
2021-11-08,09:00,XFAB.FR,9.63,9.743858826358831,9.83,66
2021-11-08,10:00,AAA.FR,11.700000000000001,11.700000000000001,11.700000000000001,1
2021-11-08,10:00,ABEO.FR,14.6,14.6,14.6,1
2021-11-08,10:00,ABVX.FR,27.149999999999995,27.393560606060603,27.6,11
2021-11-08,10:00,ACA.FR,13.238,13.310903927018993,13.358,539
2021-11-08,10:00,ADUX.FR,2.143333333333333,2.1694444444444443,2.1950000000000003,3
2021-11-08,10:00,ADVIC.FR,9.0,9.01888888888889,9.05,6
2021-11-08,10:00,AFME.FR,6.07,6.08,6.09,2
2021-11-08,10:00,AIR.FR,114.5,114.92081301484986,115.3,946
2021-11-08,10:00,AKW.FR,22.8,22.90555555555555,23.0,9
2021-11-08,10:00,ASY.FR,31.0,31.0,31.0,1
2021-11-08,10:00,ATE.FR,149.1,149.87777777777777,150.5,27
2021-11-08,10:00,AUB.FR,55.9,56.68396739130435,57.5,23
2021-11-08,10:00,AURE.FR,8.82,8.906666666666666,9.0,3
2021-11-08,10:00,AURS.FR,25.0,25.264102564102565,25.6,13
2021-11-08,10:00,AVT.FR,0.06284999999999999,0.06390714285714286,0.0649,7
2021-11-08,10:00,BLC.FR,42.3,42.4,42.5,5
2021-11-08,10:00,BN.FR,56.69,56.76438862215471,56.96,364
2021-11-08,10:00,BON.FR,22.25,22.25,22.25,1
2021-11-08,10:00,BUDBS.FR,0.032,0.032,0.032,1
2021-11-08,10:00,CAFO.FR,15.575,15.6,15.625,2
2021-11-08,10:00,CAP.FR,210.79999999999998,211.4648351648351,212.20000000000002,182
2021-11-08,10:00,CARM.FR,13.5,13.53764705882353,13.58,17
2021-11-08,10:00,CBOT.FR,3.73,3.736666666666667,3.74,3
2021-11-08,10:00,CDA.FR,16.02,16.05622222222222,16.08,30
2021-11-08,10:00,CEN.FR,67.5,67.5,67.5,2
2021-11-08,10:00,CGG.FR,0.682,0.6864120120120121,0.692,111
2021-11-08,10:00,CGGBS.FR,0.0062,0.0062,0.0062,3
2021-11-08,10:00,CGM.FR,25.0,25.05,25.1,2
2021-11-08,10:00,COM.FR,12.1,12.1,12.1,1
2021-11-08,10:00,COVH.FR,16.25,16.372499999999995,16.4125,5
2021-11-08,10:00,COX.FR,3.16,3.162666666666667,3.17,6
2021-11-08,10:00,CS.FR,25.425,25.498132660993125,25.550000000000004,631
2021-11-08,10:00,DBG.FR,10.45,10.484714285714286,10.51,35
2021-11-08,10:00,DLTA.FR,89.55,89.57499999999999,89.6,2
2021-11-08,10:00,DVT.FR,168.5,168.5,168.5,3
2021-11-08,10:00,EC.FR,136.83333333333334,137.01666666666668,137.25,5
2021-11-08,10:00,ECP.FR,0.7895000000000001,0.7895000000000001,0.7895000000000001,1
2021-11-08,10:00,ELIOR.FR,6.49,6.508310810810809,6.525,37
2021-11-08,10:00,ELIS.FR,16.49,16.542340740740737,16.6,135
2021-11-08,10:00,ENGI.FR,12.752,12.809338400800414,12.846,587
2021-11-08,10:00,ES.FR,14.35,14.55625,14.7,10
2021-11-08,10:00,ETL.FR,12.545,12.582115341419591,12.61,106
2021-11-08,10:00,FDJ.FR,45.08,45.24401204159825,45.38,87
2021-11-08,10:00,FGR.FR,92.94,93.31359056603773,93.7,265
2021-11-08,10:00,FNAC.FR,57.4,57.658,57.8,25
2021-11-08,10:00,FPN.FR,0.0366,0.0366,0.0366,1
2021-11-08,10:00,GLO.FR,19.6,19.660909090909094,19.72,11
2021-11-08,10:00,GNFT.FR,3.142,3.1462499999999998,3.15,8
2021-11-08,10:00,GPE.FR,29.6,29.8,30.0,2
2021-11-08,10:00,GRVO.FR,130.5,131.24166666666667,132.0,12
2021-11-08,10:00,GUI.FR,14.34,14.461505376344084,14.6,31
2021-11-08,10:00,GV.FR,0.368,0.36998690476190477,0.3722,14
2021-11-08,10:00,HEXA.FR,42.4,42.4,42.4,1
2021-11-08,10:00,HOLN.FR,44.47,44.66294117647059,44.77,17
2021-11-08,10:00,INEA.FR,44.3,44.3,44.3,1
2021-11-08,10:00,IPH.FR,4.746,4.771952201257861,4.81,53
2021-11-08,10:00,IPS.FR,41.35,41.582253086419726,41.75,81
2021-11-08,10:00,JBOG.FR,12.05,12.116249999999999,12.24,4
2021-11-08,10:00,KORI.FR,29.4,29.454,29.540000000000003,30
2021-11-08,10:00,LACR.FR,37.4,37.4,37.4,2
2021-11-08,10:00,LAT.FR,0.5145,0.5163229166666667,0.517,16
2021-11-08,10:00,LBIRD.FR,20.025,20.13472222222222,20.2,6
2021-11-08,10:00,LI.FR,21.91,22.028020833333333,22.24,104
2021-11-08,10:00,LOCAL.FR,1.3109333333333333,1.3141897435897436,1.3188,13
2021-11-08,10:00,LSS.FR,36.5,36.59312500000001,36.75,8
2021-11-08,10:00,LUCBS.FR,0.0455,0.0455,0.0455,1
2021-11-08,10:00,MAAT.FR,13.65,14.005117897727278,14.4,80
2021-11-08,10:00,MBWS.FR,1.41,1.4191666666666667,1.425,3
2021-11-08,10:00,MCPHY.FR,22.5,22.637593551587287,22.886666666666667,80
2021-11-08,10:00,MDM.FR,20.28,20.330000000000002,20.38,22
2021-11-08,10:00,MTU.FR,29.400000000000002,29.46428571428571,29.55,7
2021-11-08,10:00,NEX.FR,88.15,88.7900419287212,89.05,53
2021-11-08,10:00,NHOA.FR,19.913333333333334,19.916666666666668,19.92,2
2021-11-08,10:00,NK.FR,37.54,37.66637606837605,37.84,78
2021-11-08,10:00,NOKIA.FR,5.095,5.1030875,5.113,24
2021-11-08,10:00,NVD3.FR,306.6526,312.06012499999997,314.5879,4
2021-11-08,10:00,ORAPB.FR,1.0,1.0,1.0,1
2021-11-08,10:00,ORP.FR,93.59999999999998,93.86342423901635,94.24,108
2021-11-08,10:00,PAR.FR,54.5,55.0,55.5,2
2021-11-08,10:00,PAT.FR,17.0,17.0,17.0,1
2021-11-08,10:00,PERR.FR,83.8,83.8,83.8,1
2021-11-08,10:00,PEUG.FR,130.2,130.3085714285714,130.6,7
2021-11-08,10:00,PIG.FR,5.045,5.065666666666666,5.082,3
2021-11-08,10:00,POM.FR,23.38,23.55251231527094,23.68,29
2021-11-08,10:00,PREC.FR,34.0,34.0,34.0,1
2021-11-08,10:00,PSAT.FR,6.26,6.26,6.26,2
2021-11-08,10:00,QDT.FR,21.24,21.36125,21.48,24
2021-11-08,10:00,RE.FR,135.0,135.0,135.0,2
2021-11-08,10:00,RF.FR,79.15,79.31111111111112,79.45,27
2021-11-08,10:00,RIN.FR,57.8,57.923333333333325,58.2,15
2021-11-08,10:00,ROTH.FR,39.85,40.11332080200502,40.45,133
2021-11-08,10:00,SAMS.FR,203.0,203.5,204.0,2
2021-11-08,10:00,SEV.FR,19.69,19.695399999999996,19.7,25
2021-11-08,10:00,SFPI.FR,3.81,3.8225490196078433,3.83,17
2021-11-08,10:00,TBGBS.FR,0.0208,0.0219,0.024,6
2021-11-08,10:00,TCH.FR,2.648,2.6766999999999994,2.69,20
