TradingDate,TradingTimeHour,ID,min(Last),avg(Last),max(Last),count(1)
2021-11-08,09:00,TBGBS.FR,0.024,0.024,0.024000000000000004,4
2021-11-08,09:00,TCH.FR,2.64,2.654686363636364,2.682,44
2021-11-08,09:00,TEP.FR,345.59166666666664,348.5191442300198,352.2,611
2021-11-08,09:00,TFI.FR,8.9,8.943958333333335,8.98,66
2021-11-08,09:00,TOUP.FR,7.9399999999999995,7.9399999999999995,7.94,4
2021-11-08,09:00,TRI.FR,163.79999999999998,165.11461038961033,166.5,98
2021-11-08,09:00,UBI.FR,46.68,46.87404992063492,47.14,200
2021-11-08,09:00,UFF.FR,18.0,18.082500000000003,18.2,5
2021-11-08,09:00,VCT.FR,38.4,38.65749999999999,38.8,40
2021-11-08,09:00,VIL.FR,5.84,5.867,5.88,5
2021-11-08,09:00,VK.FR,7.035,7.1590953993513,7.24,254
2021-11-08,09:00,VMGBS.FR,0.00475,0.00475,0.00475,1
2021-11-08,09:00,VRAP.FR,17.8,17.93611111111111,18.0,6
2021-11-08,09:00,XFAB.FR,9.63,9.743858826358831,9.83,66
2021-11-08,10:00,AAA.FR,11.700000000000001,11.700000000000001,11.700000000000001,1
2021-11-08,10:00,ABEO.FR,14.6,14.6,14.6,1
2021-11-08,10:00,ABVX.FR,27.149999999999995,27.393560606060603,27.6,11
2021-11-08,10:00,ACA.FR,13.238,13.310903927018991,13.358,539
2021-11-08,10:00,ADUX.FR,2.143333333333333,2.1694444444444443,2.1950000000000003,3
2021-11-08,10:00,ADVIC.FR,9.0,9.018888888888888,9.05,6
2021-11-08,10:00,AFME.FR,6.07,6.08,6.09,2
2021-11-08,10:00,AIR.FR,114.5,114.92081301484984,115.3,946
2021-11-08,10:00,AKW.FR,22.8,22.905555555555555,23.0,9
2021-11-08,10:00,ASY.FR,31.0,31.0,31.0,1
2021-11-08,10:00,ATE.FR,149.1,149.87777777777777,150.5,27
2021-11-08,10:00,AUB.FR,55.9,56.68396739130435,57.5,23
2021-11-08,10:00,AURE.FR,8.82,8.906666666666666,9.0,3
2021-11-08,10:00,AURS.FR,25.0,25.26410256410257,25.6,13
2021-11-08,10:00,AVT.FR,0.06284999999999999,0.06390714285714286,0.0649,7
2021-11-08,10:00,BLC.FR,42.3,42.4,42.5,5
2021-11-08,10:00,BN.FR,56.69,56.76438862215473,56.96,364
2021-11-08,10:00,BON.FR,22.25,22.25,22.25,1
2021-11-08,10:00,BUDBS.FR,0.032,0.032,0.032,1
2021-11-08,10:00,CAFO.FR,15.575,15.6,15.625,2
2021-11-08,10:00,CAP.FR,210.79999999999998,211.46483516483525,212.20000000000002,182
2021-11-08,10:00,CARM.FR,13.5,13.53764705882353,13.58,17
2021-11-08,10:00,CBOT.FR,3.73,3.736666666666667,3.74,3
2021-11-08,10:00,CDA.FR,16.02,16.056222222222218,16.08,30
2021-11-08,10:00,CEN.FR,67.5,67.5,67.5,2
2021-11-08,10:00,CGG.FR,0.682,0.686412012012012,0.692,111
2021-11-08,10:00,CGGBS.FR,0.0062,0.0062,0.0062,3
2021-11-08,10:00,CGM.FR,25.0,25.05,25.1,2
2021-11-08,10:00,COM.FR,12.1,12.1,12.1,1
2021-11-08,10:00,COVH.FR,16.25,16.372500000000002,16.4125,5
2021-11-08,10:00,COX.FR,3.16,3.1626666666666665,3.17,6
2021-11-08,10:00,CS.FR,25.425,25.49813266099313,25.550000000000004,631
2021-11-08,10:00,DBG.FR,10.45,10.484714285714288,10.51,35
2021-11-08,10:00,DLTA.FR,89.55,89.57499999999999,89.6,2
2021-11-08,10:00,DVT.FR,168.5,168.5,168.5,3
2021-11-08,10:00,EC.FR,136.83333333333334,137.01666666666668,137.25,5
2021-11-08,10:00,ECP.FR,0.7895000000000001,0.7895000000000001,0.7895000000000001,1
2021-11-08,10:00,ELIOR.FR,6.49,6.508310810810809,6.525,37
2021-11-08,10:00,ELIS.FR,16.49,16.542340740740737,16.6,135
2021-11-08,10:00,ENGI.FR,12.752,12.80933840080041,12.846,587
2021-11-08,10:00,ES.FR,14.35,14.55625,14.7,10
2021-11-08,10:00,ETL.FR,12.545,12.58211534141959,12.61,106
2021-11-08,10:00,FDJ.FR,45.08,45.244012041598225,45.38,87
2021-11-08,10:00,FGR.FR,92.94,93.31359056603775,93.7,265
2021-11-08,10:00,FNAC.FR,57.4,57.65800000000001,57.8,25
2021-11-08,10:00,FPN.FR,0.0366,0.0366,0.0366,1
2021-11-08,10:00,GLO.FR,19.6,19.66090909090909,19.72,11
2021-11-08,10:00,GNFT.FR,3.142,3.1462499999999998,3.15,8
2021-11-08,10:00,GPE.FR,29.6,29.8,30.0,2
2021-11-08,10:00,GRVO.FR,130.5,131.24166666666667,132.0,12
2021-11-08,10:00,GUI.FR,14.34,14.461505376344086,14.6,31
2021-11-08,10:00,GV.FR,0.368,0.36998690476190477,0.3722,14
2021-11-08,10:00,HEXA.FR,42.4,42.4,42.4,1
2021-11-08,10:00,HOLN.FR,44.47,44.66294117647059,44.77,17
2021-11-08,10:00,INEA.FR,44.3,44.3,44.3,1
2021-11-08,10:00,IPH.FR,4.746,4.771952201257863,4.81,53
2021-11-08,10:00,IPS.FR,41.35,41.582253086419726,41.75,81
2021-11-08,10:00,JBOG.FR,12.05,12.116249999999999,12.24,4
2021-11-08,10:00,KORI.FR,29.4,29.454000000000008,29.540000000000003,30
2021-11-08,10:00,LACR.FR,37.4,37.4,37.4,2
2021-11-08,10:00,LAT.FR,0.5145,0.5163229166666667,0.517,16
2021-11-08,10:00,LBIRD.FR,20.025,20.134722222222223,20.2,6
2021-11-08,10:00,LI.FR,21.91,22.02802083333334,22.24,104
2021-11-08,10:00,LOCAL.FR,1.3109333333333333,1.3141897435897434,1.3188,13
2021-11-08,10:00,LSS.FR,36.5,36.593125,36.75,8
2021-11-08,10:00,LUCBS.FR,0.0455,0.0455,0.0455,1
2021-11-08,10:00,MAAT.FR,13.65,14.005117897727274,14.4,80
2021-11-08,10:00,MBWS.FR,1.41,1.4191666666666665,1.425,3
2021-11-08,10:00,MCPHY.FR,22.5,22.637593551587283,22.886666666666667,80
2021-11-08,10:00,MDM.FR,20.28,20.33,20.38,22
2021-11-08,10:00,MTU.FR,29.400000000000002,29.46428571428571,29.55,7
2021-11-08,10:00,NEX.FR,88.15,88.79004192872118,89.05,53
2021-11-08,10:00,NHOA.FR,19.913333333333334,19.916666666666668,19.92,2
2021-11-08,10:00,NK.FR,37.54,37.66637606837605,37.84,78
2021-11-08,10:00,NOKIA.FR,5.095,5.1030875,5.113,24
2021-11-08,10:00,NVD3.FR,306.6526,312.06012499999997,314.5879,4
2021-11-08,10:00,ORAPB.FR,1.0,1.0,1.0,1
2021-11-08,10:00,ORP.FR,93.59999999999998,93.86342423901633,94.24,108
2021-11-08,10:00,PAR.FR,54.5,55.0,55.5,2
2021-11-08,10:00,PAT.FR,17.0,17.0,17.0,1
2021-11-08,10:00,PERR.FR,83.8,83.8,83.8,1
2021-11-08,10:00,PEUG.FR,130.2,130.3085714285714,130.6,7
2021-11-08,10:00,PIG.FR,5.045,5.065666666666666,5.082,3
2021-11-08,10:00,POM.FR,23.38,23.55251231527094,23.68,29
2021-11-08,10:00,PREC.FR,34.0,34.0,34.0,1
2021-11-08,10:00,PSAT.FR,6.26,6.26,6.26,2
2021-11-08,10:00,QDT.FR,21.24,21.36125,21.48,24
2021-11-08,10:00,RE.FR,135.0,135.0,135.0,2
2021-11-08,10:00,RF.FR,79.15,79.31111111111113,79.45,27
2021-11-08,10:00,RIN.FR,57.8,57.923333333333325,58.2,15
2021-11-08,10:00,ROTH.FR,39.85,40.113320802005035,40.45,133
2021-11-08,10:00,SAMS.FR,203.0,203.5,204.0,2
2021-11-08,10:00,SEV.FR,19.69,19.695399999999996,19.7,25
2021-11-08,10:00,SFPI.FR,3.81,3.8225490196078433,3.83,17
2021-11-08,10:00,TBGBS.FR,0.0208,0.0219,0.024,6
2021-11-08,10:00,TCH.FR,2.648,2.6767,2.69,20
2021-11-08,10:00,TEP.FR,346.5,347.80599794369414,350.1,574
2021-11-08,10:00,TFI.FR,8.91,8.932115384615384,8.965,26
2021-11-08,10:00,TOUP.FR,7.95,7.958,7.96,5
2021-11-08,10:00,TRI.FR,165.7,166.2116071428572,166.5,28
2021-11-08,10:00,UBI.FR,46.65,46.807832134726866,47.06,171
2021-11-08,10:00,UFF.FR,17.9,17.975,18.05,2
2021-11-08,10:00,VCT.FR,38.35,38.43611111111111,38.55,18
2021-11-08,10:00,VIL.FR,5.88,5.88,5.88,1
2021-11-08,10:00,VK.FR,7.04,7.108155161655159,7.2,111
2021-11-08,10:00,VMGBS.FR,0.005,0.005,0.005,1
2021-11-08,10:00,VRAP.FR,17.85,17.85,17.85,1
2021-11-08,10:00,XFAB.FR,9.575,9.621321138211384,9.67,41
2021-11-08,11:00,ABEO.FR,14.55,14.560714285714287,14.571428571428571,2
2021-11-08,11:00,ABVX.FR,27.7,27.80238095238095,27.916666666666668,7
2021-11-08,11:00,ACA.FR,13.286,13.343457404901093,13.386000000000001,451
2021-11-08,11:00,ACAN.FR,0.518,0.52,0.522,2
2021-11-08,11:00,ADVIC.FR,8.75,8.931179453262788,9.06,18
2021-11-08,11:00,AFME.FR,6.0,6.035,6.07,2
2021-11-08,11:00,AIR.FR,114.28,114.87068519783304,115.22,878
2021-11-08,11:00,AKW.FR,22.7,22.79886363636364,22.9,22
2021-11-08,11:00,ASY.FR,30.9,30.96666666666667,31.0,3
2021-11-08,11:00,ATE.FR,150.2,150.51041666666666,150.9,32
2021-11-08,11:00,AUB.FR,56.650000000000006,57.075925925925944,57.3,18
2021-11-08,11:00,AURE.FR,8.8,8.888,8.94,5
2021-11-08,11:00,AURS.FR,25.5,25.5,25.5,1
2021-11-08,11:00,AVT.FR,0.0623,0.0638875,0.0647,8
2021-11-08,11:00,BLC.FR,42.3,42.38571428571429,42.45,7
2021-11-08,11:00,BN.FR,56.87428571428571,56.931116350960274,57.0,362
2021-11-08,11:00,BON.FR,22.25,22.25,22.25,1
2021-11-08,11:00,CAP.FR,211.2,211.4840599461537,211.9,143
2021-11-08,11:00,CAPLI.FR,24.6,24.675,24.7,4
2021-11-08,11:00,CARM.FR,13.52,13.636379310344827,13.74,29
2021-11-08,11:00,CBOT.FR,3.74,3.74,3.74,1
2021-11-08,11:00,CDA.FR,15.92,15.968412698412696,16.05142857142857,18
2021-11-08,11:00,CEN.FR,67.4,67.4,67.4,1
2021-11-08,11:00,CGG.FR,0.6796,0.6858327022841655,0.692,123
2021-11-08,11:00,CGGBS.FR,0.0062,0.0062,0.0062,2
2021-11-08,11:00,CGM.FR,25.0,25.025,25.05,2
2021-11-08,11:00,CNV.FR,7.097142857142857,7.228571428571429,7.36,2
2021-11-08,11:00,COM.FR,11.65,11.825,12.0,2
2021-11-08,11:00,COX.FR,3.175,3.175,3.175,2
2021-11-08,11:00,CS.FR,25.47,25.55689539433051,25.62,521
2021-11-08,11:00,DBG.FR,10.47,10.514134615384616,10.57,26
